"K_basis_1","K_basis_2","K_basis_3","K_basis_4","K_basis_5","K_basis_6","K_basis_7","K_basis_8","K_basis_9","K_basis_10","K_basis_11","K_basis_12","K_basis_13","K_basis_14","K_basis_15"
3.48433680416687e-07,5.9810836588505e-08,1.07378662987114e-07,-8.54781168296054e-08,-2.74711106321502e-07,-1.46947467204367e-07,-1.12241826443182e-07,-7.18710176184787e-09,-2.07981738804272e-08,-2.42316220912951e-08,1.89277078071602e-08,4.75612358035883e-09,-2.90799150722486e-08,-4.97822913579152e-10,5.6234248390608e-09
2.97671197416707e-07,2.8893655813095e-08,1.1156868472309e-07,-1.26397029325292e-07,-2.86012467902853e-07,-1.574313729271e-07,-1.17976304734241e-07,-8.96040279100937e-10,-2.07926107989925e-08,-2.36361993888221e-08,2.10959093497006e-08,5.77083328749822e-09,-3.07765995324407e-08,-2.56100588521924e-09,4.28907798891817e-09
1.43872784543664e-07,-2.95675992136038e-08,1.02655137187126e-07,-1.61484789435726e-07,-2.36352908956399e-07,-1.25518087203558e-07,-9.79213922488777e-08,-1.39290029884884e-09,-1.7988343086247e-08,-1.70011473488806e-08,2.50293990580473e-08,8.98621978366799e-09,-2.79435518891897e-08,-4.44987066006557e-09,1.97062987230224e-09
4.6191305038792e-08,-5.59875250228494e-08,8.96887284630309e-08,-1.56961161064078e-07,-1.79832618290863e-07,-8.73744376688465e-08,-7.44506921490576e-08,-6.30460172887153e-09,-1.51698807227755e-08,-1.1339654989623e-08,2.59388623897074e-08,1.06856791854862e-08,-2.35696772819791e-08,-4.4973634404208e-09,9.56822030676464e-10
-5.14889994192801e-08,-8.24051271821029e-08,7.67315296287972e-08,-1.52440450735159e-07,-1.23310144364523e-07,-4.92328860607774e-08,-5.09881640966152e-08,-1.12166902702491e-08,-1.23566980481475e-08,-5.68311614960435e-09,2.68533318793715e-08,1.23894530429645e-08,-1.92035829089907e-08,-4.54297404658361e-09,-5.41361186421532e-11
-1.49168209732496e-07,-1.0882207927521e-07,6.37673331901666e-08,-1.47913374271225e-07,-6.67958042479083e-08,-1.10899068034301e-08,-2.75190270501151e-08,-1.61264018228724e-08,-9.54307906491284e-09,-2.27970367598275e-11,2.77645031634778e-08,1.40864248944302e-08,-1.48378561605802e-08,-4.59108077840548e-09,-1.07151955540227e-09
-2.46857911273808e-07,-1.35248994802224e-07,5.08025523863208e-08,-1.43392390467258e-07,-1.02682947153733e-08,2.70536150272849e-08,-4.05367458941006e-09,-2.10401046241684e-08,-6.72611566377509e-09,5.63387411576989e-09,2.86781200871459e-08,1.57878124632859e-08,-1.04632525806287e-08,-4.63074342824313e-09,-2.07561641994079e-09
-3.44537332738908e-07,-1.61664358409155e-07,3.78387251359223e-08,-1.38869063156088e-07,4.62478021920508e-08,6.51961995911061e-08,1.94140102567163e-08,-2.59479265156387e-08,-3.90938160011902e-09,1.12974665992533e-08,2.95880757166233e-08,1.74911393476459e-08,-6.10017979135488e-09,-4.67887608316055e-09,-3.09428683603548e-09
-4.42213515288621e-07,-1.88085341890429e-07,2.487839033179e-08,-1.3434406617695e-07,1.02767994408619e-07,1.03343064169216e-07,4.28817245793813e-08,-3.08601243247681e-08,-1.09364640286283e-09,1.69513121590936e-08,3.05003937775327e-08,1.91943292188542e-08,-1.73405688016026e-09,-4.72620381522994e-09,-4.10224728189638e-09
-5.39897135050257e-07,-2.1450215535869e-07,1.19146824272625e-08,-1.29818359046644e-07,1.59291122587238e-07,1.41485277035785e-07,6.63463523281961e-08,-3.57721713208796e-08,1.72263386557961e-09,2.26124115708926e-08,3.14096986840454e-08,2.08936636857034e-08,2.63761906708776e-09,-4.77012541625407e-09,-5.11463028926362e-09
